energy,theta,2theta,IT_cps_ave,I0_cps_ave
8393.25,75.99985,152.4397,23546.300777,208692.542846
8393.5,75.9929,152.42575,23177.385157,207290.433005
8393.75,75.98595,152.41185,23029.055675,205339.14583
8394.0,75.979,152.39795,22797.912964,203809.816595
8394.25,75.97205,152.38405,22606.776489,202120.679085
8394.5,75.9651,152.3702,22451.696894,201137.813572
8394.75,75.95815,152.3563,22339.827893,199601.743622
8395.0,75.9512,152.34245,22105.464971,198130.454154
8395.25,75.9443,152.3286,22020.718562,197146.964009
8395.5,75.93735,152.31475,21818.076232,195962.873064
8395.75,75.93045,152.3009,21699.022403,195211.053582
8396.0,75.92355,152.28705,21594.03733,194581.268494
8396.25,75.9166,152.27325,21424.508847,193621.062104
8396.5,75.9097,152.2594,21231.869049,192268.691136
8396.75,75.9028,152.2456,21181.628378,192043.706038
8397.0,75.8959,152.2318,20867.553751,191273.783037
8397.25,75.889,152.218,20925.377338,190576.260813
8397.5,75.8821,152.2042,20887.993362,190159.383728
8397.75,75.8752,152.1904,20819.07901,189423.348045
8398.0,75.8683,152.17665,20550.671468,188974.339531
8398.25,75.86145,152.16285,20448.473084,188607.423855
8398.5,75.85455,152.1491,20422.471121,188072.441149
8398.75,75.8477,152.13535,20357.425042,187566.022703
8399.0,75.8408,152.1216,20264.335535,187304.810587
8399.25,75.83395,82.6537,20157.307327,186950.829592
8399.5,75.82705,152.09415,20091.010428,186681.556141
8399.75,75.8202,152.0804,20068.433138,186110.124027
8400.0,75.81335,152.0667,19983.335469,185891.530185
8400.25,75.8065,152.053,19829.13487,185958.95884
8400.5,75.79965,152.0393,19863.914001,185370.056299
8400.75,75.7928,152.0256,19717.102308,185415.351112
8401.0,75.78595,152.0119,19716.37872,185004.589393
8401.25,75.7791,151.99825,19628.946162,184802.538434
8401.5,75.7723,151.98455,19600.527132,184409.438232
8401.75,75.76545,151.9709,19482.915932,184387.526702
8402.0,75.7586,151.95725,19428.550287,184151.421547
8402.25,75.7518,151.9436,19482.026577,184068.307185
8402.5,75.74495,151.92995,19300.912266,184017.776265
8402.75,75.73815,151.9163,19225.489715,183886.552338
8403.0,75.73135,151.9027,19252.217995,183819.718535
8403.25,75.72455,151.88905,19119.967384,183793.783274
8403.5,75.7177,151.87545,19090.056427,183692.30127
8403.75,75.7109,151.86185,18998.928917,183613.719918
8404.0,75.7041,151.84825,18864.859724,183301.76192
8404.25,75.6973,151.83465,18849.575903,183175.325063
8404.5,75.69055,151.82105,18826.298385,183191.714905
8404.75,75.68375,151.8075,18805.749413,183198.438843
8405.0,75.67695,151.7939,18690.993072,182996.797817
8405.25,75.6702,151.78035,18566.530824,183093.696607
8405.5,75.6634,151.7668,18436.56737,182774.075381
8405.75,75.6566,151.75325,18448.664555,182322.779933
8406.0,75.64985,151.7397,18458.885039,182666.168175
8406.25,75.6431,151.72615,18318.932678,182299.179735
8406.5,75.6363,151.71265,18200.348982,182239.277536
8406.75,75.62955,151.6991,18075.965828,182087.305906
8407.0,75.6228,151.6856,18018.425677,181921.71268
8407.25,75.61605,151.6721,17965.470753,181879.43259
8407.5,75.6093,151.6586,17981.601825,181611.907282
